ParticipantID,SEX,ParticipantAge,ParticipantEthnicity1,ParticipantEthnicity2,ParticipantEthnicity3,ParticipantEthnicity4,EducationLevel,FamilyIncome,ParticipantLTR,DatingLength,RelationshipSatisfaction,ProbabilityLeaveCurrentPartner,PartnerNumber,HadSex,AgeSex,ParticipantPrimarilyAttracted,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,GenHealth1,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11rc,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24rc,CMVS25rc,CMVS26rc
1,2,36,1, , , ,4,6,1,5,10,1,5,1,14,1,10,1,5,5, ,2,3,5,3,7,3,3,3,3,2,1,1,1,6,7,7,3,5,3,2,7,1,1,1,1
2,1,29,3, , , ,4,1,1,5,10,10,1,1,26,2,1,1,10,4, , , , , , , , , ,6,3,6,6,6,6,5,6,6,4,5,5,5,4,3,4,3
3,1,36,1, , , ,4,4,2, , , ,5,1,23,2,2,0,0,3,1,1,1,1,1,1,2,1,1,1,1,5,5,4,1,1,1,3,2,1,1,1,1,3,3,4
4,2,32,8, , , ,3,3,1,5,11,1,5,1,17,1,5,1,30,3,1,3,3,2,3,2,1,1,2,1,1,1,1,1,7,7,7,2,2,1,1,1,2,1,1,1
5,1,29,3, , , ,4,2,1,5,9,1,3,1,19,2,3,2,6,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,4,1,4,1,1,1,1,1,4,1
6,1,32,6, , , ,4,3,1,4,9,1,12,1,21,2,4,1,18,4,1,1,1,1,1,1,1,1,1,1,1,7,4,1,1,1,1,7,7,1,4,1,1,7,7,7
7,1,26,1, , , ,4,8,2, , , ,10,1,13,2,30,10,5,4,1,1,1,1,1,1,1,1,1,1,1,7,7,7,1,1,5,1,1,1,1,1,1,1,1,1
8,2,55,1, , , ,3,3,1,5,11,6,6,1,22,1,6,1,12,5,1,1,2,4,3,5,2,1,4,1,1,4,3,3,5,7,7,3,4,3,1,5,1,1,1,4
9,2,42,1,2, , ,4,4,1,4,11,1,2,1,18,1,2,1,15,4,1,2,1,7,1,7,1,1,2,1,1,1,1,1,7,7,7,1,1,1,7,7,1,1,1,1
10,2,32,1, , , ,3,6,1,4,11,1,3,1,16,1,10,1,4,4,1,1,3,3,1,2,3,1,3,1,1,1,1,1,6,6,6,2,2,2,1,4,1,1,1,1
11,2,27,3, , , ,4,2,1,5,11,1,2,2, ,1,1,1,7,5,1,1,6,1,1,7,7,1,1,1,1,1,1,1,7,7,2,1,1,1,7,2,1,7,1,1
12,2,24,1, , , ,4,8,1,4,7,1,5,1,19,1,2,1,45,5,1,1,1,1,1,1,1,1,1,1,1,7,1,1,7,7,7,1,1,1,1,1,1,1,1,1
13,2,55,6, , , ,4,7,1,5,9,2,7,1,17,1,12,1,20,3,1,1,1,1,1,4,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1
14,1,32,1, , , ,4,6,2, , , ,5,1,18,2,23,19,3,5,1,1,1,1,1,2,1,1,1,1,2,1,1,4,6,7,4,2,1,2,1,1,1,1,4,4
15,2,42,2, , , ,4,1,1,5,11,1,1,1,23,1,1,1,2,5,1,2,1,2,1,7,5,1,1,1,2,1,1,1,1,2,1,2,2,1,2,6,2,2,2,2
16,1,48,1, , , ,4,8,1,5,10,1,30,1,15,2,45,0,9,4,1,1,3,2,1,5,2,2,3,1,2,7,3,6,5,5,5,1,3,2,2,5,1,1,2,2
17,2,26,2, , , ,2,4,2, , , ,1,1,21,1,2,0,0,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,4,1,1,3,6,5
18,1,41,1, , , ,4,6,1,5,11,1,5,1,17,2,12,1,20,3,1,1,1,1,1,2,2,1,2,1,3,1,1,7,7,7,7,4,4,1,1,3,1,1,1,1
19,2,43,1, , , ,5,6,1,5,7,1,5,1,16,1,5,1,15,3,1,1,1,4,1,1,4,4,4,1,4,1,4,7,7,7,7,1,1,1,1,4,1,1,1,1
20,1,35,1, , , ,3,1,1,5,11,1,5,1,18,2,30,1,4,3,1,1,1,1,1,1,1,7,1,1,6,7,1,7,7,7,7,6,3,1,1,1,1,1,1,7
21,1,36,8, , , ,4,4,1,4,10,8,30,1,18,2,5,5,3,3,1,1,1,1,1,1,1,1,1,1,7,1,1,4,1,1,1,1,1,2,2,1,2,7,6,6
22,1,63,1, , , ,2,6,1,5,11,1,35,1,13,2,30,1,8,3,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7
23,1,43,1, , , ,5,6,1,5,11,1,32,1,17,2,50,1,2,2,1,1,1,1,1,1,1,1,1,1,7,1,1,1,7,7,7,1,1,1,1,4,1,1,7,7
24,2,29,3, , , ,4,5,1,5,11,1,1,1,25,1,1,1,12,4,1,2,3,5,3,6,2,2,4,2,2,1,2,2,6,5,7,3,5,2,2,4,2,2,4,3
25,1,27,6, , , ,4,7,1,5,11,1,3,1,16,2,7,6,8,5,1,1,2,2,2,2,7,6,4,2,2,1,1,2,7,7,7,1,1,1,1,6,1,1,1,1
26,2,45,1, , , ,4,8,1,5,10,1,3,1,17,1,3,1,4,5,1,1,1,3,1,2,3,3,3,2,2,1,1,1,3,7,7,1,1,1,2,7,1,1,1,1
27,1,33,3, , , ,5,4,1,5,10,1,3,1,8,2,3,2,1,5,1,2,2,4,3,4,3,2,2,2,3,2,1,1,2,3,2,2,2,2,2,4,3,2,5,2
28,1,36,1, , , ,2,7,1,5,11,1,10,1,15,2,50,3,20,5,1,1,2,3,1,4,7,2,3,2,4,1,1,1,7,7,7,1,1,1,1,1,1,7,2,1
29,1,48,1, , , ,4,7,1,5,10,1,11,1,15,2,300+,1,12,5,1,1,1,4,1,4,5,1,1,2,4,1,1,3,4,2,4,1,1,2,1,4,1, ,4,1
30,2,25,2, , , ,4,5,1,3,10,1,3,2, ,1,1,1,0,4,1,3,2,3,3,2,2,3,2,2,4,3,2,3,1,2,4,3,4,3,3,4,2,6,5,5
31,2,27,1, , , ,5,7,1,5,11,1,100,1,21,1,1,1,10,5,1,2,3,4,4,4,5,5,4,2,6,3,3,3,2,3,3,3,3,3,2,3,2,5,5,6
32,2,28,3, , , ,5,7,1,4,10,9,5,1,18,1,5,3,4,4,1,3,2,2,3,2,2,3,2,2,7,2,1,1,2,2,1,2,2,2,2,1,2,6,6,6
33,2,32,6, , , ,4,6,1,5,10,1,2,1,19,1,2,1,10,4,1,1,1,1,1,1,6,2,1,2,7,2,2,2,6,1,2,2,3,2,2,3,3,3,6,5
